STRAATNAAM;POSTCODE6;POSTCODE4;HSNR_laag;HSNR_hoog;HSNR_aant;BUURTCODE;BUURTNAAM;WIJKCODE;WIJKNAAM;STADSDEELCODE;STADSDEELNAAM;x_rd;y_rd;latitude;longitude
Heezerweg;5643KR;5643.0;364;402;20.0;237;Kruidenbuurt;23;Wijk Putten;2;Stadsdeel Stratum;162986.1926;381369.317651;51.4213890513;5.50201668585
Heezerweg;5645KV;5645.0;397;419;12.0;234;Tivoli;23;Wijk Putten;2;Stadsdeel Stratum;163293.4595;381102.504977;51.4189863212;5.50642790937
Heezerweg;5646KW;5646.0;421;467;24.0;234;Tivoli;23;Wijk Putten;2;Stadsdeel Stratum;163355.1292;381035.589483;51.4183839288;5.5073128867
Hefveld;5642DB;5642.0;1;45;23.0;322;Doornakkers-Oost;32;Wijk Doornakkers;3;Stadsdeel Tongelre;164333.696223;383541.6585;51.4408947788;5.52144699373
Heideveldstraat;5643CH;5643.0;2;6;5.0;236;Nieuwe Erven;23;Wijk Putten;2;Stadsdeel Stratum;162541.6332;381431.37023;51.4219529476;5.49562668653
Heike;5641LH;5641.0;40;90;26.0;333;Muschberg, Geestenberg;33;Wijk Oud-Tongelre;3;Stadsdeel Tongelre;164592.8762;383927.693689;51.4443603609;5.525185277
Heilige Geeststraat;5611HR;5611.0;40;76;19.0;112;Bergen;11;Wijk Centrum;1;Stadsdeel Centrum;161024.015935;383092.87825;51.4369059747;5.47383640903
Heistraat;5614GJ;5614.0;1;67;33.0;215;Joriskwartier;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;162273.678463;381904.8618;51.4262125315;5.49178409404
Heistraat;5614GK;5614.0;2;52;32.0;215;Joriskwartier;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;162237.192709;381914.45895;51.4262992671;5.49125968843
Heksenkruidlaan;5646AE;5646.0;4;56;23.0;238;Schuttersbosch;23;Wijk Putten;2;Stadsdeel Stratum;162977.59995;380638.407929;51.4148192642;5.50187660234
Helenahof;5631GS;5631.0;1;12;12.0;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid;162077.672241;386029.0657;51.4632861024;5.48904883103
Heliasweg;5625BS;5625.0;1;37;19.0;513;Jagershoef;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;160707.1139;386719.757674;51.4695100662;5.46933771232
